sample,n_reads,mean_mapq,median_mapq,pct_mapq0,pct_mapq_ge_30
MOT36308,550723,49.69853810354752,60.0,16.767231439398756,82.91536761675107
MOT36309,555404,48.51586952920757,60.0,18.72870919186754,80.96862824178436
MOT36311,758602,50.30726520626099,60.0,15.196242561975845,83.91686286089411
MOT36312,794801,50.06568814080506,60.0,15.690594249378146,83.50958290188362
MOT36313,800742,49.898228143397,60.0,15.884517110380122,83.22368503213269
MOT36314,759359,50.76049009756913,60.0,14.738351688726938,84.6736523831284
MOT36315,790935,50.433805559243176,60.0,15.241454733954118,84.14332404053431
MOT36316,758718,50.456433088446566,60.0,15.113388637148454,84.19135963559583
MOT36317,784561,50.71248889506361,60.0,14.75818961177015,84.60272687528439
MOT36318,744054,50.25353401769227,60.0,15.537044354307616,83.83907619608254
MOT36319,712341,50.35693438956904,60.0,15.311487054655004,84.01201110142475
MOT36320,751672,50.05405017081919,60.0,15.918645366596069,83.50330995434179
MOT36321,749443,50.424988958466486,60.0,15.30309843443731,84.13314955240092
MOT36322,796518,49.84940202230207,60.0,15.917907693234804,83.12806490248808
MOT36323,789114,50.53167729884402,60.0,14.986047643306291,84.30302845976627
MOT36324,734324,50.59150456746613,60.0,15.004276041638295,84.40198059712061
MOT36325,759631,49.883231463697506,60.0,16.238937062863418,83.25937198455566
MOT36326,719455,50.27137208025519,60.0,15.561223426065563,83.88335615153136
MOT36327,767886,50.257103267933,60.0,15.598148683528546,83.85984377889426
MOT36328,895459,47.862664845626654,60.0,19.49067461491816,79.89734873400121
